,id,pickup_datetime,dropoff_datetime,origin,destination
0,id0190469,2016-01-01 00:00:17,2016-01-01 00:14:26,42427352,42438018
1,id1210365,2016-01-01 00:01:01,2016-01-01 00:07:49,42432756,42434113
2,id3888279,2016-01-01 00:01:14,2016-01-01 00:05:54,42445649,4461990857
3,id0924227,2016-01-01 00:01:20,2016-01-01 00:13:36,4862610026,42428212
4,id2294362,2016-01-01 00:01:33,2016-01-01 00:13:25,42442415,42449634
5,id1078247,2016-01-01 00:01:37,2016-01-01 00:03:31,5706568771,42440951
6,id3609443,2016-01-01 00:01:47,2016-01-01 00:21:51,42435645,42438247
7,id2914314,2016-01-01 00:02:06,2016-01-01 00:23:56,42437283,42438928
8,id3675972,2016-01-01 00:02:45,2016-01-01 00:10:10,42430265,42427390
9,id0566105,2016-01-01 00:03:31,2016-01-01 00:26:35,42436159,42431674
10,id3968582,2016-01-01 00:04:42,2016-01-01 00:22:33,42427371,42445027
11,id3266337,2016-01-01 00:04:57,2016-01-01 00:08:37,42435328,42437918
12,id2563820,2016-01-01 00:05:07,2016-01-01 00:09:54,42431661,42455693
13,id0400882,2016-01-01 00:05:08,2016-01-01 00:23:01,42436913,42429212
14,id3956309,2016-01-01 00:05:35,2016-01-01 00:17:43,42430295,42450025
15,id0460928,2016-01-01 00:05:39,2016-01-01 00:13:27,42448563,42432171
16,id3900441,2016-01-01 00:06:04,2016-01-01 00:15:52,42437050,42430068
17,id1904457,2016-01-01 00:06:22,2016-01-01 00:33:00,42434072,4679523598
18,id1864422,2016-01-01 00:06:24,2016-01-01 00:31:36,42439840,42429338
19,id0275133,2016-01-01 00:06:47,2016-01-01 00:16:55,42437654,42431822
20,id2162784,2016-01-01 00:06:59,2016-01-01 00:11:26,42440743,42437096
21,id1323694,2016-01-01 00:07:04,2016-01-01 00:14:30,42437686,589100164
22,id1004094,2016-01-01 00:07:07,2016-01-01 00:17:04,42439406,42430367
23,id1560712,2016-01-01 00:07:22,2016-01-01 00:18:21,42431037,42428039
